text,intent,Unnamed: 2
Actually Can nurse bring me a pen and paper can you help?,nurse_request,
Actually Can nurse bring me a pen and paper please,nurse_request,
Actually Can nurse help apply the cream the doctor prescribed kindly help.,nurse_request,
Actually Can someone adjust my neck collar it is rubbing please,nurse_request,
Actually Can someone adjust the curtain for privacy at the earliest please.,nurse_request,
Actually Can someone bring a washcloth and warm water kindly help.,nurse_request,
Actually Can someone bring a washcloth and warm water this is urgent.,nurse_request,
Actually Can someone change the drip bag it is almost done,nurse_request,
Actually Can someone check my wound for signs of infection can someone help?,nurse_request,
Actually Can someone check on my roommate they look unwell is that possible?,nurse_request,
Actually Can someone dim the lights in my room thank you so much,nurse_request,
Actually Can someone fix the monitor electrode on my chest,nurse_request,
Actually Can someone fix the monitor electrode on my chest at the earliest please.,nurse_request,
Actually Can someone help me get out of bed to stretch kindly help.,nurse_request,
Actually Can someone help me put on my compression stockings is that possible?,nurse_request,
Actually Can someone help me put on my compression stockings please,nurse_request,
Actually Can someone put the cooling gel on my swollen ankle,nurse_request,
Actually Can someone put the cooling gel on my swollen ankle this is urgent.,nurse_request,
Actually Can someone reset the monitor alarm,nurse_request,
Actually Can the nurse assist me with a bed bath please help.,nurse_request,
Actually Can the nurse bring an extra pillow at the earliest please.,nurse_request,
Actually Can the nurse bring the portable commode can someone help?,nurse_request,
Actually Can the nurse check if my wound is healing properly as soon as possible.,nurse_request,
Actually Can the nurse check my IV drip kindly help.,nurse_request,
Actually Can the nurse help me clean up thank you so much,nurse_request,
Actually Can the nurse please come and check on me can you help?,nurse_request,
Actually Hello is there a nurse on this floor can you help?,nurse_request,
Actually I am feeling nervous about the surgery can someone come,nurse_request,
Actually I am feeling very alone can a nurse come sit with me,nurse_request,
Actually I am in a lot of discomfort please send nurse,nurse_request,
Actually I feel restless and cannot relax can someone help this is urgent.,nurse_request,
Actually I have been waiting for a nurse for a while kindly help.,nurse_request,
Actually I keep sliding down the bed can nurse reposition me,nurse_request,
Actually I need a clean towel please as soon as possible.,nurse_request,
Actually I need help adjusting my bed position,nurse_request,
Actually I need help changing into clean clothes thank you so much,nurse_request,
Actually I need help cleaning up after using the bedpan please,nurse_request,
Actually I need help going to the bathroom please,nurse_request,
Actually I need help lying on my left side kindly help.,nurse_request,
Actually I need help putting on deodorant can you help?,nurse_request,
Actually I need help turning over in bed my back is hurting,nurse_request,
Actually I need help washing my face can you help?,nurse_request,
Actually I need my eye drops administered by the nurse can someone help?,nurse_request,
Actually I need something for this headache please I would really appreciate it.,nurse_request,
Actually I need the burn cream reapplied please is that possible?,nurse_request,
Actually I need the nurse on duty to come,nurse_request,
Actually I need the nurse to administer my injection I would really appreciate it.,nurse_request,
Actually I need the nurse to apply the ointment on my rash kindly help.,nurse_request,
Actually Is there a nurse available to come to my room,nurse_request,
Actually My IV is beeping can nurse come thank you,nurse_request,
Actually My back hurts can someone fix the bed angle,nurse_request,
Actually My catheter is uncomfortable can nurse adjust please help.,nurse_request,
Actually My drip has stopped flowing please come please help.,nurse_request,
Actually My oxygen mask is fogging up can nurse help please help.,nurse_request,
Actually My pain has not gone down can nurse come is that possible?,nurse_request,
Actually My temperature feels high can a nurse come thank you,nurse_request,
Actually My water jug is empty can nurse refill it,nurse_request,
Actually Nurse anne please come here I would really appreciate it.,nurse_request,
Actually Pain ki dawai chahiye nurse se poochho can someone help?,nurse_request,
Actually The light above my bed is bothering me can nurse fix,nurse_request,
Actually The suction machine is not working can nurse check,nurse_request,
Can I get some pain relief please is that possible?,nurse_request,
Can a nurse come and talk to me for a bit,nurse_request,
Can a nurse come the IV alarm is going off,nurse_request,
Can a nurse come the IV alarm is going off as soon as possible.,nurse_request,
Can a nurse come the IV alarm is going off please help.,nurse_request,
Can nurse apply the prescribed drops in my ear this is urgent.,nurse_request,
Can nurse come check the ECG leads they feel loose,nurse_request,
Can nurse come check the ECG leads they feel loose at the earliest please.,nurse_request,
Can nurse help apply the cream the doctor prescribed thank you so much,nurse_request,
Can nurse help me put on my support belt thank you,nurse_request,
Can someone adjust my neck collar it is rubbing as soon as possible.,nurse_request,
Can someone adjust the curtain for privacy thank you,nurse_request,
Can someone adjust the monitor settings the alarm keeps going off,nurse_request,
Can someone adjust the reading light for me I would really appreciate it.,nurse_request,
Can someone apply a fresh bandage to my arm I would really appreciate it.,nurse_request,
Can someone apply moisturizer on my dry skin,nurse_request,
Can someone apply moisturizer on my dry skin can you help?,nurse_request,
Can someone apply moisturizer on my dry skin is that possible?,nurse_request,
Can someone apply moisturizer on my dry skin thank you so much,nurse_request,
Can someone apply the healing balm on my wound edges can you help?,nurse_request,
Can someone apply the healing balm on my wound edges please,nurse_request,
Can someone bring a washcloth and warm water thank you,nurse_request,
Can someone bring me a straw for my water can someone help?,nurse_request,
Can someone bring me a warm compress can someone help?,nurse_request,
Can someone bring me a wet towel to wipe my face please help.,nurse_request,
Can someone bring me a wet towel to wipe my face thank you so much,nurse_request,
Can someone bring me an extra blanket as soon as possible.,nurse_request,
Can someone bring me the commode chair thank you,nurse_request,
Can someone bring my anti-nausea medication can someone help?,nurse_request,
Can someone bring my walking stick from the corner is that possible?,nurse_request,
Can someone check if the right fluid is in my IV please help.,nurse_request,
Can someone check my oxygen levels thank you,nurse_request,
Can someone check my wound for signs of infection,nurse_request,
Can someone check my wound for signs of infection can someone help?,nurse_request,
Can someone come I am feeling very restless thank you,nurse_request,
Can someone come I am feeling very restless this is urgent.,nurse_request,
Can someone come and check my respiratory rate thank you so much,nurse_request,
Can someone come monitor my heart rate for a bit this is urgent.,nurse_request,
Can someone come the heart monitor is beeping can someone help?,nurse_request,
Can someone come the heart monitor is beeping please,nurse_request,
Can someone come to my room please,nurse_request,
Can someone come to my room please this is urgent.,nurse_request,
Can someone flush my IV line please,nurse_request,
Can someone flush my IV line please is that possible?,nurse_request,
Can someone give me something for the cramps,nurse_request,
Can someone give me something for the cramps can you help?,nurse_request,
Can someone give me something for the cramps please help.,nurse_request,
Can someone hand me the TV remote I cannot reach it I would really appreciate it.,nurse_request,
Can someone help me get to the weighing scale,nurse_request,
Can someone help me get up I feel a bit weak can someone help?,nurse_request,
Can someone help me shave,nurse_request,
Can someone help me shave thank you,nurse_request,
Can someone help me use the restroom,nurse_request,
Can someone help me with my oxygen mask strap,nurse_request,
Can someone help me with my oxygen mask strap as soon as possible.,nurse_request,
Can someone help me with my oxygen mask strap please help.,nurse_request,
Can someone lower the TV volume I cannot reach the remote is that possible?,nurse_request,
Can someone lower the TV volume I cannot reach the remote thank you so much,nurse_request,
Can someone move the bedside table closer to me I would really appreciate it.,nurse_request,
Can someone move the bedside table closer to me please,nurse_request,
Can someone pass me my bag from the cupboard please,nurse_request,
Can someone pull the curtain around my bed thank you,nurse_request,
Can someone put a pillow between my knees as soon as possible.,nurse_request,
Can someone put the cooling gel on my swollen ankle,nurse_request,
Can someone reset the monitor alarm,nurse_request,
Can someone take my vitals please kindly help.,nurse_request,
Can the charge nurse come see me please,nurse_request,
Can the charge nurse come see me please at the earliest please.,nurse_request,
Can the duty nurse please come as soon as possible.,nurse_request,
Can the nurse adjust my pillow position please,nurse_request,
Can the nurse apply the steroid cream on my eczema,nurse_request,
Can the nurse apply the steroid cream on my eczema kindly help.,nurse_request,
Can the nurse apply the steroid cream on my eczema please,nurse_request,
Can the nurse apply the steroid cream on my eczema this is urgent.,nurse_request,
Can the nurse bring an extra pillow at the earliest please.,nurse_request,
Can the nurse bring an extra pillow kindly help.,nurse_request,
Can the nurse bring me a hot water bottle for my back thank you,nurse_request,
Can the nurse bring me some ice chips kindly help.,nurse_request,
Can the nurse bring my next dose of painkiller please,nurse_request,
Can the nurse check my oxygen levels please,nurse_request,
Can the nurse check my oxygen levels please can you help?,nurse_request,
Can the nurse check my oxygen levels please thank you,nurse_request,
Can the nurse come I need some comfort thank you,nurse_request,
Can the nurse give me my scheduled medication thank you,nurse_request,
Can the nurse help me adjust my splint,nurse_request,
Can the nurse help me adjust my splint at the earliest please.,nurse_request,
Can the nurse help me clean up please,nurse_request,
Can the nurse help me do my walking exercise I would really appreciate it.,nurse_request,
Can the nurse help me do my walking exercise can you help?,nurse_request,
Can the nurse help me put on my surgical stockings kindly help.,nurse_request,
Can the nurse help me put on my surgical stockings please,nurse_request,
Can the nurse help me sit on the edge of the bed kindly help.,nurse_request,
Can the nurse help me wash my hands,nurse_request,
Can the nurse reapply the ointment on my sore,nurse_request,
Can the nurse reconnect my IV please,nurse_request,
Can the senior nurse come check on me,nurse_request,
Can the senior nurse come check on me thank you so much,nurse_request,
Can you hear me? Can nurse apply the prescribed drops in my ear,nurse_request,
