text,label
The lights are too bright,utility_request
Do you know any good jokes,general_conversation
How is the weather today,general_conversation
Just resting and thinking,general_conversation
I have extremely high blood pressure symptoms,emergency
I hit my head very hard,emergency
Can the doctor tell me when I can resume normal activities,doctor_query
Good morning,general_conversation
What is the expected time for my procedure,status_query
Can I eat now or should I wait,nutrition_request
The machine says my oxygen is very low,emergency
I need the doctor to evaluate my symptoms,doctor_query
Can I have an extra dress please,utility_request
I cannot stop shaking and feel near death,emergency
Can the nurse verify my medication dosage,nurse_request
I miss my dog,general_conversation
Has the nurse noted my pain level,status_query
I feel intense sudden pain from head to toe,emergency
I feel slightly unsteady on my feet,nurse_request
What is the update on my earlier complaint,status_query
Can I have some sweet juice immediately,nutrition_request
I feel okay today,general_conversation
Can you talk with me for a bit,general_conversation
Is anyone going to check on my stitches,status_query
I feel weak due to not eating,nutrition_request
Can the doctor review my scans with me,doctor_query
I feel sudden severe neck pain,emergency
Can I have some glucose biscuits,nutrition_request
Can you tell me the time please,general_conversation
I have my MRI report to submit,document_submission
I need the nurse to give me my medicine,nurse_request
I want to understand what the biopsy result means,doctor_query
Can someone reattach my monitor leads,nurse_request
I am having chest pain,emergency
I need help managing my pain with the nurse,nurse_request
Has my prescription been updated,status_query
Can the doctor tell me what to expect after surgery,doctor_query
Just wanted to chat,general_conversation
I need storage space,utility_request
I feel like collapsing,emergency
I need a nurse to flush my IV line,nurse_request
I need help adjusting my position in the bed,nurse_request
Are you there,general_conversation
I need the nurse to prepare my next dose,nurse_request
I think I have broken something,emergency
Can I get a meal for diabetic patients,nutrition_request
I want warm water with lemon,nutrition_request
Can I provide my allergy report,document_submission
Can I get some magazines to pass time,utility_request
I think I am going into shock,emergency
Can a nurse take my weight,nurse_request
I have a mental health report to hand over,document_submission
Can I sign and submit the consent document,document_submission
I feel weak and need someone to assist,nurse_request
Can I get a straw please,utility_request
I feel very severe pain in my stomach,emergency
Can the nurse please take my temperature,nurse_request
I need the doctor to explain my brain scan,doctor_query
I need a surface to keep my things,utility_request
I want to keep my documents in my hospital file,document_submission
I need to store valuables,utility_request
Just resting here,general_conversation
I feel heavy pressure on my chest,emergency
I have an old prescription to show,document_submission
Can I have soft diet post surgery,nutrition_request
Can I get a book or magazine,utility_request
I have follow-up instructions to add to my file,document_submission
Is my food order being prepared,status_query
Can I have a small mirror please,utility_request
I feel somewhat better today,general_conversation
I need help with my personal hygiene,nurse_request
I do not eat meat please give me veg food,nutrition_request
I am doing fine,general_conversation
I am gasping for air,emergency
I need seating for my family,utility_request
Can we chat,general_conversation
The nurse needs to check my bandage,nurse_request
I feel terrible pain in my chest and arm,emergency
I want a meal review by the dietician,nutrition_request
Can I give my counselling notes,document_submission
I think I overdosed on my medicine,emergency
Can I submit health insurance paperwork,document_submission
I want Jain food without onion garlic,nutrition_request
I have concerns about my treatment,doctor_query
I am thirsty and need water,utility_request
I feel calm but a little uncertain,general_conversation
Can I submit my old prescription records,document_submission
I feel extremely short of breath suddenly,emergency
Can I have a pair of slippers,utility_request
Can I get an extra blanket please,utility_request
I am bored,general_conversation
Can I have crutches please,utility_request
I cannot hold anything I feel so weak suddenly,emergency
Can you read something to me,general_conversation
I have documents that need to be scanned,document_submission
Can I get a comb or brush,utility_request
I feel a little cold but it is manageable,general_conversation
I want to talk about my day,general_conversation
Please send nursing staff to room,nurse_request
Can I have a locker or safe box,utility_request
I need help turning off the light,nurse_request
I want a fresh salad,nutrition_request
I am underweight and need more food,nutrition_request
When will I know my diagnosis,status_query
Has surgery been scheduled for me,status_query
I want to understand all my current medications,doctor_query
I feel sudden severe weakness in my legs,emergency
Can I have eggs for breakfast,nutrition_request
Is the physiotherapist coming today,status_query
Has my diet been reviewed by the nutritionist,status_query
I want to write a note,utility_request
I feel a little foggy today,general_conversation
My heart stopped for a moment I think,emergency
I need to sit upright comfortably,utility_request
Can I get clear broth please,nutrition_request
Can I get a phone charger,utility_request
I feel peaceful today,general_conversation
I need a gluten-free meal,nutrition_request
I like this room,general_conversation
Can the doctor visit me for a consultation,doctor_query
I need someone to assist me,nurse_request
I need someone to help me move,nurse_request
Can I get herbal tea please,nutrition_request
Can I have khichdi please,nutrition_request
I feel something is not right and need a nurse,nurse_request
The temperature feels nice,general_conversation
When will my charger request be fulfilled,status_query
Can I have an extra chair for my visitor,utility_request
I am alone and need assistance,nurse_request
I feel severe cramps throughout my body,emergency
Can someone hold my hand,nurse_request
Can I have a meal now,nutrition_request
Can the doctor explain when I can walk again,doctor_query
I am barely conscious please help,emergency
What are the side effects of my medication,doctor_query
I want dates and nuts,nutrition_request
I want to hear something positive,general_conversation
Nothing hurts right now thankfully,general_conversation
I am feeling restless,general_conversation
