text,label

I feel like I cannot breathe properly,emergency
My chest is hurting badly,emergency
Something feels wrong with my breathing,emergency
I feel extremely dizzy suddenly,emergency
Please help me I feel faint,emergency
I am struggling to breathe right now,emergency
My heart feels like it's racing,emergency
I suddenly feel very weak,emergency
I feel like I might pass out soon,emergency
I cannot catch my breath properly,emergency
My chest feels tight and painful,emergency
Please help me quickly something is wrong,emergency
I feel intense pain in my chest,emergency
I feel like collapsing right now,emergency
I feel extremely unwell suddenly,emergency
Something is seriously wrong with me,emergency
My breathing feels very difficult,emergency
I feel severe discomfort in my chest,emergency
Please send help urgently,emergency
I feel like I will faint any moment,emergency
My chest feels very heavy,emergency
I cannot breathe deeply,emergency
My heart is beating too fast,emergency
I feel very dizzy and weak,emergency
I feel pressure in my chest,emergency
Please help I cannot breathe,emergency
My breathing feels restricted,emergency
I feel sudden weakness in my body,emergency
My chest pain is getting worse,emergency
I feel like collapsing,emergency
I am having severe breathing trouble,emergency
I feel extremely lightheaded,emergency
I feel intense pressure in my chest,emergency
My body feels extremely weak,emergency
Please help something feels wrong,emergency
I feel severe dizziness,emergency
My breathing is getting harder,emergency
I feel like my heart is pounding,emergency
I feel faint suddenly,emergency
I cannot breathe normally,emergency
My chest pain feels sharp,emergency
I feel tightness in my chest,emergency
I feel like my breathing is stopping,emergency
Please help I feel like collapsing,emergency
My chest discomfort is increasing,emergency
I feel sudden chest pressure,emergency
My breathing feels painful,emergency
I feel very unstable suddenly,emergency
Please someone help me breathe,emergency
I feel like I am losing strength,emergency
My heart is beating irregularly,emergency
I feel like I might blackout,emergency
My breathing feels shallow,emergency
I feel heavy pressure on my chest,emergency
I feel extremely dizzy and weak,emergency
Please help my breathing feels abnormal,emergency
I feel sudden pain near my heart,emergency
I feel severe weakness all over,emergency
My chest feels compressed,emergency
I feel like I cannot inhale properly,emergency
My chest pain is unbearable,emergency
I feel faint and unstable,emergency
I feel like something is wrong with my heart,emergency
My breathing suddenly became difficult,emergency
I feel like collapsing right away,emergency
My chest pain is spreading,emergency
I feel extremely uncomfortable in my chest,emergency
My breathing is getting worse quickly,emergency
I feel like my heart is racing uncontrollably,emergency
Please call the nurse,nurse_request
I need help getting up,nurse_request
Can the nurse come here,nurse_request
I need assistance please,nurse_request
Please send a nurse to my room,nurse_request
I need help adjusting my bed,nurse_request
Could someone help me sit up,nurse_request
I need help moving,nurse_request
Please ask the nurse to come,nurse_request
I need help with my IV,nurse_request
I need someone to assist me,nurse_request
Can the nurse check on me,nurse_request
Please help me with my pillow,nurse_request
I need help turning in bed,nurse_request
Could the nurse come here,nurse_request
I need assistance with the bed controls,nurse_request
Can someone help me stand,nurse_request
Please send a nurse for assistance,nurse_request
I need help sitting properly,nurse_request
I need support getting out of bed,nurse_request
Can someone help adjust my bed position,nurse_request
Please send someone to help me sit,nurse_request
I need assistance moving in bed,nurse_request
Could the nurse assist me please,nurse_request
Please help me sit comfortably,nurse_request
I need help standing up,nurse_request
Can someone assist me here,nurse_request
Please call a nurse for me,nurse_request
I need help repositioning myself,nurse_request
Could someone help me with my blanket,nurse_request
I need help with my bed controls,nurse_request
Please ask the nurse to check my IV,nurse_request
I need help adjusting my pillow,nurse_request
Can someone assist me with sitting,nurse_request
Please send the nurse here,nurse_request
I need help lying down properly,nurse_request
Please help me adjust my position,nurse_request
Can the nurse check my bed,nurse_request
I need assistance with comfort,nurse_request
Please call the nurse quickly,nurse_request
Could someone help me move,nurse_request
Please send help from the nurse,nurse_request
I need assistance with sitting up,nurse_request
Can someone help me adjust my blanket,nurse_request
Please ask the nurse to assist me,nurse_request
I need help getting comfortable,nurse_request
Could someone help me change position,nurse_request
I need assistance with my bed,nurse_request
Please call the nurse to help me,nurse_request
I need help fixing my pillow,nurse_request
Can the nurse help me sit properly,nurse_request
Please send a nurse to assist me,nurse_request
I need help changing my position,nurse_request
Could someone help me lie down,nurse_request
Please send someone to help adjust my bed,nurse_request
I need assistance with my posture,nurse_request
Can the nurse help me move,nurse_request
Please send a nurse to check me,nurse_request
I need help adjusting the bed height,nurse_request
Could someone help me sit upright,nurse_request
Please ask the nurse to assist me here,nurse_request
I need help getting comfortable in bed,nurse_request
Can someone help me with positioning,nurse_request
Please call the nurse to assist me now,nurse_request
I need help adjusting the pillow,nurse_request
Could the nurse help me lie down properly,nurse_request
Please send help for adjusting my bed,nurse_request
I need assistance sitting up straight,nurse_request
Can someone help me shift position,nurse_request
Please call the nurse for assistance,nurse_request
When will the doctor visit me,doctor_query
Can I speak with the doctor,doctor_query
I want to talk to the doctor,doctor_query
When is the doctor coming,doctor_query
Can the doctor check my condition,doctor_query
I would like to ask the doctor something,doctor_query
Please inform the doctor I have a question,doctor_query
Can I consult the doctor,doctor_query
I need to discuss my symptoms with the doctor,doctor_query
Can the doctor review my reports,doctor_query
When can the doctor see me,doctor_query
Please let the doctor know I have a concern,doctor_query
I want to ask the doctor about my treatment,doctor_query
Could the doctor visit my room,doctor_query
I have a question for the doctor,doctor_query
Please arrange a doctor consultation,doctor_query
Can the doctor examine me today,doctor_query
I want the doctor to check my reports,doctor_query
I need clarification from the doctor,doctor_query
Please call the doctor for me,doctor_query
Can I discuss my symptoms with the doctor,doctor_query
When will the doctor be available,doctor_query
Could I talk to the doctor soon,doctor_query
Please arrange a meeting with the doctor,doctor_query
I would like the doctor to check my reports,doctor_query
Can the doctor review my condition,doctor_query
Please inform the doctor I need consultation,doctor_query
I need medical clarification from the doctor,doctor_query
Can the doctor come to my room,doctor_query
Please schedule a doctor visit,doctor_query
I would like to consult the doctor today,doctor_query
Please call the doctor here,doctor_query
I want to ask the doctor about my symptoms,doctor_query
Can I speak to the doctor about my treatment,doctor_query
Please arrange a discussion with the doctor,doctor_query
I would like to meet the doctor,doctor_query
Please let the doctor know I have questions,doctor_query
Can the doctor review my reports today,doctor_query
Please schedule doctor consultation,doctor_query
I need to ask the doctor about my condition,doctor_query
When will the doctor check me,doctor_query
Please call the doctor to my room,doctor_query
Can the doctor visit me soon,doctor_query
I would like to speak with the doctor about my health,doctor_query
Please arrange for the doctor to see me,doctor_query
I want the doctor to evaluate my reports,doctor_query
Could the doctor explain my treatment plan,doctor_query
I need to talk to the doctor regarding my symptoms,doctor_query
Please inform the doctor I want consultation,doctor_query
Can the doctor provide guidance on my condition,doctor_query
Please let the doctor know I need to speak,doctor_query
When will the doctor come for rounds,doctor_query
I need to ask the doctor about my medication,doctor_query
Could the doctor check my test results,doctor_query
Please schedule a doctor review for me,doctor_query
I want to talk to the doctor about my reports,doctor_query
Please inform the doctor I need advice,doctor_query
Can the doctor discuss my treatment with me,doctor_query
I need to ask the doctor about my diagnosis,doctor_query
Please arrange for the doctor to visit me today,doctor_query
I want breakfast,nutrition_request
Can I get lunch,nutrition_request
I would like dinner,nutrition_request
Can I order food,nutrition_request
I feel hungry,nutrition_request
Can I get something to eat,nutrition_request
Please bring my meal,nutrition_request
I want a meal please,nutrition_request
Can I have my dinner now,nutrition_request
Please arrange breakfast,nutrition_request
I would like a snack,nutrition_request
Can I have some food,nutrition_request
Please bring lunch for me,nutrition_request
I would like my meal tray,nutrition_request
Can I get dinner served,nutrition_request
I want to request food,nutrition_request
Please send my meal,nutrition_request
Can I have something light to eat,nutrition_request
I want my breakfast now,nutrition_request
Please arrange dinner for me,nutrition_request
Can I get something to eat soon,nutrition_request
