text,intent
Can you change my next of kin information please.,document_submission
Please come and check the monitor alarm,nurse_request
Can someone give me an update on what is next,status_query
Please Can someone come and collect my admission documents I would really appreciate it.,document_submission
Actually Can the room be sanitised please is that possible?,utility_request
Please I pressed the button by mistake sorry kindly help.,general_conversation
Can you hear me? There is no hot water in the bathroom at the earliest please.,utility_request
Can the nurse check my pain medication,nurse_request
My chest is very tight I can't breathe,emergency
Can you hear me? Can nurse help apply the cream the doctor prescribed thank you.,nurse_request
I need help with the wheelchair to go downstairs,utility_request
Excuse me Can I get the wifi password please can you help?,utility_request
The room is too hot can you adjust the AC,utility_request
What is the plan for my treatment,doctor_query
plz my doctor put me on a liquid diet please send accordingly thank you.,nutrition_request
Can someone check if my saline bag is okay,nurse_request
Um Hello is anyone there thank you.,general_conversation
Heart attack aa help,emergency
Can I go for a small walk in the corridor,general_conversation
When will the radiologist come,status_query
Um My name is spelled wrong in the records please correct.,document_submission
Excuse me I need another blanket thank you so much.,utility_request
Can I get the wifi password please,utility_request
My chest feels like it is being squeezed,emergency
I have a rash that appeared please send the doctor,doctor_query
I fell down and cannot get up,emergency
i want a duplicate copy of my prescription at the earliest plz.,document_submission
Um I need to submit my employee health card please.,document_submission
Just wanted to say I finished my food can I get more please thank you.,nutrition_request
Please bring a basin I need to wash,nurse_request
Please What is the plan for my treatment thank you so much.,doctor_query
Hi I need to submit my insurance pre-authorization.,document_submission
The weather outside looks nice from the window,general_conversation
My phone number has changed please update,document_submission
Can someone bring my medication from the nursing station,utility_request
Um Heavy bleeding from my arm.,emergency
After the procedure I feel very uncomfortable please call doctor,doctor_query
Has there been any change in my medication plan,status_query
Can you hear me? My family wants to know the prognosis please ask please.,doctor_query
I made a request an hour ago is it done,status_query
I have been waiting for my meal for an hour,nutrition_request
Just wanted to say I am being discharged and I just wanted to thank everyone,general_conversation
What time will the doctor come for rounds today,status_query
My face and lips are swelling up,emergency
I need to fill the admission consent form,document_submission
Um I feel suffocated please someone come is that possible?,emergency
Enakku swaasam varalai help pannga,emergency
Please I need a walking frame to go to the washroom I would really appreciate it.,utility_request
Hello I was told the report comes in 2 hours it has been 3 at the earliest please.,status_query
Can you hear me? Did the specialist review my case can you help?,status_query
The sink tap is dripping constantly,utility_request
I want to upload my insurance policy documents,document_submission
Can I have upma or oats please,nutrition_request
I can't breathe please help me,emergency
My oxygen mask fell off I can't breathe,emergency
Can someone bring the consent papers for me to sign,document_submission
